account type,"""2016""","""2015"""
sales,1796035,1624400
cost of sales,-1273421,-1160182
gross profit,522614,464218
selling operating & admin expenses,-415293,-366752
earnings from operations,107321,97466
interest expense,-6210,-6673
earnings before income taxes,101111,90793
income taxes,-31332,-27910
net earnings per share basic,1.44,1.3
net earnings per share diluted,1.43,1.29
weighted average number of shares outstanding basic,48509,48432
weighted average number of shares outstanding diluted,48783,48709
