year,account type,amount
"""2015""",cash,507
"""2015""",trade other receivables,512
"""2015""",inventories,3415
"""2015""",other current assets,194
"""2015""",property plant equipment,5154
"""2015""",intangible assets,1774
"""2015""",other assets,1093
"""2015""",loans borrowings,451
"""2015""",trade payables accrued liabilities,2514
"""2015""",unearned revenue,132
"""2015""",provisions other,299
"""2015""",non current liabilities,6154
"""2015""",shareholder equity,3099
"""2014""",cash,168
"""2014""",trade other receivables,212
"""2014""",inventories,2319
"""2014""",other current assets,100
"""2014""",property plant equipment,4606
"""2014""",intangible assets,1313
"""2014""",other assets,404
"""2014""",loans borrowings,256
"""2014""",trade payables accrued liabilities,1548
"""2014""",unearned revenue,130
"""2014""",provisions other,220
"""2014""",non current liabilities,4504
"""2014""",shareholder equity,2474
