account type,amount
deposits in transit,2201.4
outstanding cheques,5904
bank errors,0
EFT receipts,6787.18
interest,0
EFT payments,0
NSF charges,465.6
service fees,165
company errors,360
cash balance per bank statement,14606.73
outstanding cheque 1,3000
outstanding cheque 2,1401.3
outstanding cheque 3,1502.7
electronic receipts customers accounts 1,2137.5
electronic receipts customers accounts 2,4649.68
electronic receipts customers accounts 3,360
NSF cheques plus service charge,465.6
bank service fees,165
cash balance per books,4387.55
