year,account type,amount
"""2015""",net sales,11162
"""2015""",cost of sales,6638
"""2015""",operating expenses,4526
"""2015""",other operating expenses,684
"""2015""",interest expense,225
"""2015""",other expense,62
"""2015""",income before income tax,519
"""2015""",income tax benefit expense,132
"""2014""",net sales,8169
"""2014""",cost of sales,4901
"""2014""",operating expenses,3103
"""2014""",other operating expenses,308
"""2014""",interest expense,218
"""2014""",other expense,44
"""2014""",income before income tax,211
,income tax benefit expense,22
